date,homeTeam,awayTeam,homeScore,awayScore
2023-11-04T00:00:00Z,Man City,Bournemouth,6,1
2023-11-04T00:00:00Z,Sheffield United,Wolves,2,1
2023-11-04T00:00:00Z,Newcastle,Arsenal,1,0
2023-11-05T00:00:00Z,Nott'm Forest,Aston Villa,2,0
2023-11-05T00:00:00Z,Luton,Liverpool,1,1
2023-11-06T00:00:00Z,Tottenham,Chelsea,1,4
2023-11-11T00:00:00Z,Wolves,Tottenham,2,1
2023-11-11T00:00:00Z,Arsenal,Burnley,3,1
2023-11-11T00:00:00Z,Crystal Palace,Everton,2,3
2023-11-11T00:00:00Z,Man United,Luton,1,0
2023-11-11T00:00:00Z,Bournemouth,Newcastle,2,0
2023-11-12T00:00:00Z,Aston Villa,Fulham,3,1
2023-11-12T00:00:00Z,Brighton,Sheffield United,1,1
2023-11-12T00:00:00Z,Liverpool,Brentford,3,0
2023-11-12T00:00:00Z,West Ham,Nott'm Forest,3,2
2023-11-12T00:00:00Z,Chelsea,Man City,4,4
2023-11-25T00:00:00Z,Man City,Liverpool,1,1
2023-11-25T00:00:00Z,Burnley,West Ham,1,2
2023-11-25T00:00:00Z,Luton,Crystal Palace,2,1
2023-11-25T00:00:00Z,Newcastle,Chelsea,4,1
2023-11-25T00:00:00Z,Nott'm Forest,Brighton,2,3
2023-11-25T00:00:00Z,Sheffield United,Bournemouth,1,3
2023-11-25T00:00:00Z,Brentford,Arsenal,0,1
2023-11-26T00:00:00Z,Tottenham,Aston Villa,1,2
2023-11-26T00:00:00Z,Everton,Man United,0,3
2023-11-27T00:00:00Z,Fulham,Wolves,3,2
2023-12-02T00:00:00Z,Arsenal,Wolves,2,1
2023-12-02T00:00:00Z,Brentford,Luton,3,1
2023-12-02T00:00:00Z,Burnley,Sheffield United,5,0
2023-12-02T00:00:00Z,Nott'm Forest,Everton,0,1
2023-12-02T00:00:00Z,Newcastle,Man United,1,0
2023-12-03T00:00:00Z,Bournemouth,Aston Villa,2,2
2023-12-03T00:00:00Z,Chelsea,Brighton,3,2
2023-12-03T00:00:00Z,Liverpool,Fulham,4,3
2023-12-03T00:00:00Z,West Ham,Crystal Palace,1,1
2023-12-03T00:00:00Z,Man City,Tottenham,3,3
2023-12-05T00:00:00Z,Wolves,Burnley,1,0
2023-12-05T00:00:00Z,Luton,Arsenal,3,4
2023-12-06T00:00:00Z,Brighton,Brentford,2,1
2023-12-06T00:00:00Z,Crystal Palace,Bournemouth,0,2
2023-12-06T00:00:00Z,Fulham,Nott'm Forest,5,0
2023-12-06T00:00:00Z,Sheffield United,Liverpool,0,2
2023-12-06T00:00:00Z,Aston Villa,Man City,1,0
2023-12-06T00:00:00Z,Man United,Chelsea,2,1
2023-12-07T00:00:00Z,Everton,Newcastle,3,0
2023-12-07T00:00:00Z,Tottenham,West Ham,1,2
2023-12-09T00:00:00Z,Crystal Palace,Liverpool,1,2
2023-12-09T00:00:00Z,Brighton,Burnley,1,1
2023-12-09T00:00:00Z,Man United,Bournemouth,0,3
2023-12-09T00:00:00Z,Sheffield United,Brentford,1,0
2023-12-09T00:00:00Z,Wolves,Nott'm Forest,1,1
2023-12-09T00:00:00Z,Aston Villa,Arsenal,1,0
2023-12-10T00:00:00Z,Everton,Chelsea,2,0
2023-12-10T00:00:00Z,Fulham,West Ham,5,0
2023-12-10T00:00:00Z,Luton,Man City,1,2
2023-12-10T00:00:00Z,Tottenham,Newcastle,4,1
2023-12-15T00:00:00Z,Nott'm Forest,Tottenham,0,2
2023-12-16T00:00:00Z,Chelsea,Sheffield United,2,0
2023-12-16T00:00:00Z,Man City,Crystal Palace,2,2
2023-12-16T00:00:00Z,Newcastle,Fulham,3,0
2023-12-16T00:00:00Z,Burnley,Everton,0,2
2023-12-17T00:00:00Z,Arsenal,Brighton,2,0
2023-12-17T00:00:00Z,Brentford,Aston Villa,1,2
2023-12-17T00:00:00Z,West Ham,Wolves,3,0
2023-12-17T00:00:00Z,Liverpool,Man United,0,0
2023-12-21T00:00:00Z,Crystal Palace,Brighton,1,1
2023-12-22T00:00:00Z,Aston Villa,Sheffield United,1,1
2023-12-23T00:00:00Z,West Ham,Man United,2,0
2023-12-23T00:00:00Z,Fulham,Burnley,0,2
2023-12-23T00:00:00Z,Luton,Newcastle,1,0
2023-12-23T00:00:00Z,Nott'm Forest,Bournemouth,2,3
2023-12-23T00:00:00Z,Tottenham,Everton,2,1
2023-12-23T00:00:00Z,Liverpool,Arsenal,1,1
2023-12-24T00:00:00Z,Wolves,Chelsea,2,1
2023-12-26T00:00:00Z,Newcastle,Nott'm Forest,1,3
2023-12-26T00:00:00Z,Bournemouth,Fulham,3,0
2023-12-26T00:00:00Z,Sheffield United,Luton,2,3
2023-12-26T00:00:00Z,Burnley,Liverpool,0,2
2023-12-26T00:00:00Z,Man United,Aston Villa,3,2
2023-12-27T00:00:00Z,Brentford,Wolves,1,4
2023-12-27T00:00:00Z,Chelsea,Crystal Palace,2,1
2023-12-27T00:00:00Z,Everton,Man City,1,3
2023-12-28T00:00:00Z,Brighton,Tottenham,4,2
2023-12-28T00:00:00Z,Arsenal,West Ham,0,2
2023-12-30T00:00:00Z,Luton,Chelsea,2,3
2023-12-30T00:00:00Z,Aston Villa,Burnley,3,2
2023-12-30T00:00:00Z,Crystal Palace,Brentford,3,1
2023-12-30T00:00:00Z,Man City,Sheffield United,2,0
2023-12-30T00:00:00Z,Wolves,Everton,3,0
2023-12-30T00:00:00Z,Nott'm Forest,Man United,2,1
2023-12-31T00:00:00Z,Fulham,Arsenal,2,1
2023-12-31T00:00:00Z,Tottenham,Bournemouth,3,1
2024-01-01T00:00:00Z,Liverpool,Newcastle,4,2
2024-01-02T00:00:00Z,West Ham,Brighton,0,0
2024-01-12T00:00:00Z,Burnley,Luton,1,1
2024-01-13T00:00:00Z,Chelsea,Fulham,1,0
2024-01-13T00:00:00Z,Newcastle,Man City,2,3
2024-01-14T00:00:00Z,Everton,Aston Villa,0,0
2024-01-14T00:00:00Z,Man United,Tottenham,2,2
2024-01-20T00:00:00Z,Arsenal,Crystal Palace,5,0
2024-01-20T00:00:00Z,Brentford,Nott'm Forest,3,2
2024-01-21T00:00:00Z,Sheffield United,West Ham,2,2
2024-01-21T00:00:00Z,Bournemouth,Liverpool,0,4
2024-01-22T00:00:00Z,Brighton,Wolves,0,0
2024-01-30T00:00:00Z,Nott'm Forest,Arsenal,1,2
2024-01-30T00:00:00Z,Fulham,Everton,0,0
2024-01-30T00:00:00Z,Luton,Brighton,4,0
2024-01-30T00:00:00Z,Crystal Palace,Sheffield United,3,2
2024-01-30T00:00:00Z,Aston Villa,Newcastle,1,3
2024-01-31T00:00:00Z,Man City,Burnley,3,1
2024-01-31T00:00:00Z,Tottenham,Brentford,3,2
